session_id,participant_id,start_time,task_type,intended_duration_minutes,initial_task_site,task_site_count,duration_seconds,click_count,scroll_count,keyboard_activity_count,idle_seconds,active_seconds,away_seconds,tab_switch_count,video_playing_seconds,post_session_answer,drift_label
session_afa43dd7-0694-451c-8e09-9bd056c7bc35,DS-2A52AD-A7D3A2,2026-07-21T17:03:52.658Z,other_planned_task,10,nctb.gov.bd,10,826,26,33,38,35,702,89,3,0,moved_away,1
session_5f1292fc-b930-4308-a9e1-4fed399d211d,DS-2A52AD-A7D3A2,2026-07-22T22:15:48.766Z,learning_tutorial,20,youtube.com,10,1163,23,37,17,123,962,78,3,771,aligned,0
session_e2f16019-65eb-4187-9396-08a8ed1b0b3d,DS-2A52AD-A7D3A2,2026-07-23T01:24:53.907Z,communication_coordination,45,mail.google.com,10,2986,147,70,180,328,2184,474,19,0,not_sure,
session_8e620fe1-fdc1-4e30-98bb-ab3763742d35,DS-2A52AD-A7D3A2,2026-07-23T10:24:53.602Z,reading_research,15,nctb.gov.bd,10,953,29,69,28,126,814,13,1,0,not_sure,
session_9c5b25ba-a466-4037-b033-de36bce78d58,DS-2A52AD-A7D3A2,2026-07-23T11:13:42.504Z,learning_tutorial,15,classroom.google.com,10,1028,20,40,18,60,756,212,7,0,moved_away,1
session_39b53e84-99aa-46c1-9b9b-f9328bc2f63d,DS-2A52AD-A7D3A2,2026-07-23T12:11:26.019Z,learning_tutorial,30,bohubrihi.com,10,2391,52,92,40,228,1852,311,14,0,moved_away,1
session_57d527ca-3166-4c4d-a1af-7de9465c3564,DS-2A52AD-A7D3A2,2026-07-24T09:00:33.586Z,communication_coordination,15,mail.google.com,10,1381,71,40,89,70,1193,118,8,0,moved_away,1
session_35d2a4fb-ca88-44fb-93e9-f11f9dbbd697,DS-2A52AD-A7D3A2,2026-07-24T10:20:10.624Z,learning_tutorial,45,nctb.gov.bd,10,2415,51,82,38,274,2141,0,7,1712,aligned,0
session_07491363-5ea3-4de2-8d6e-95640ca2ed75,DS-2A52AD-A7D3A2,2026-07-24T11:05:26.287Z,communication_coordination,20,web.whatsapp.com,10,1057,44,38,66,34,932,91,4,0,aligned,0
session_03f363c9-f665-4a9a-bf38-87da1ae13ab2,DS-2A52AD-A7D3A2,2026-07-24T20:01:05.956Z,learning_tutorial,45,youtube.com,10,4159,79,163,49,179,3100,880,27,2566,moved_away,1
session_7ae672c2-b8fb-4d27-9311-b310d14f0acd,DS-2A52AD-A7D3A2,2026-07-24T21:15:24.970Z,learning_tutorial,15,classroom.google.com,10,1026,27,41,25,101,860,65,6,395,aligned,0
session_21c880e1-6f79-4960-b994-79711ffdc16b,DS-2A52AD-A7D3A2,2026-07-24T22:23:58.025Z,learning_tutorial,60,w3schools.com,10,2282,59,87,15,108,1940,234,12,676,moved_away,1
session_45b65942-4c35-4939-9bbd-8fdd12f93f13,DS-2A52AD-A7D3A2,2026-07-25T12:12:39.238Z,reading_research,30,web.whatsapp.com,10,1368,38,80,24,173,1093,102,3,0,moved_away,1
session_8bf1ada8-ed34-43a5-9aa6-3479d0a37266,DS-2A52AD-A7D3A2,2026-07-25T14:22:16.895Z,reading_research,10,nctb.gov.bd,10,295,8,19,4,22,242,31,2,0,aligned,0
session_f66f70a1-fde6-43b1-bf35-3a39ef0b767c,DS-2A52AD-A7D3A2,2026-07-25T16:18:30.283Z,communication_coordination,10,claude.ai,10,685,39,22,45,87,579,19,1,0,moved_away,1
session_6ad709be-4bf8-401a-b9c3-d6f1971bdd6c,DS-2A52AD-A7D3A2,2026-07-25T19:02:49.425Z,learning_tutorial,15,mail.google.com,10,729,25,34,8,20,592,117,4,0,moved_away,1
session_b4fb4a68-3773-4df5-9499-f5f51b856adc,DS-2A52AD-A7D3A2,2026-07-25T20:16:25.454Z,learning_tutorial,20,shikho.com,10,1015,14,29,1,52,745,218,6,0,moved_away,1
session_f42bac22-2a7b-43eb-8705-304b54963a7c,DS-2A52AD-A7D3A2,2026-07-25T22:20:30.915Z,reading_research,10,youtube.com,10,543,16,27,15,47,468,28,2,386,aligned,0
session_4fb7fd7b-4c6c-48d7-b67c-f7366282557f,DS-2A52AD-A7D3A2,2026-07-26T11:02:23.825Z,learning_tutorial,45,classroom.google.com,10,2926,60,101,35,384,2446,96,13,0,moved_away,1
session_543a6955-462b-4331-89f4-4e79c5483d7f,DS-2A52AD-A7D3A2,2026-07-26T19:09:42.634Z,communication_coordination,10,claude.ai,10,588,32,30,45,44,483,61,2,0,aligned,0
session_b76a5d4c-ba47-4c39-909b-63ffc8140b50,DS-2A52AD-A7D3A2,2026-07-26T20:16:16.111Z,communication_coordination,20,claude.ai,10,946,50,49,75,11,843,92,6,0,aligned,0
session_e98afa2c-d5cd-4470-b76e-4ca630a8c78b,DS-2A52AD-A7D3A2,2026-07-27T14:09:04.540Z,learning_tutorial,60,classroom.google.com,10,2098,37,80,22,383,1490,225,3,0,moved_away,1
session_e46b3bc6-c0b0-4b6a-a1ac-add49393090d,DS-2A52AD-A7D3A2,2026-07-28T16:22:26.236Z,learning_tutorial,15,classroom.google.com,10,1784,35,76,33,262,1390,132,7,1156,moved_away,1
session_b54cc145-74c7-4945-98e4-a3872e06ea2c,DS-2A52AD-A7D3A2,2026-07-29T15:21:46.228Z,learning_tutorial,45,shikho.com,10,3670,92,161,64,287,3262,121,16,0,aligned,0
session_c5304dfa-5013-4a5b-9d39-d79205e85163,DS-2A52AD-A7D3A2,2026-07-29T22:11:20.359Z,writing_creating,90,w3schools.com,10,2702,85,60,335,40,2454,208,15,0,aligned,0
session_bb271cda-40c3-4b6f-bc36-3ed02f827ae5,DS-2A52AD-A7D3A2,2026-07-29T23:01:22.961Z,learning_tutorial,60,youtube.com,10,3290,74,124,45,466,2500,324,19,1670,moved_away,1
session_dad03256-f630-4066-baa5-64db98533a55,DS-38229A-444111,2026-07-18T08:07:10.743Z,reading_research,15,sciencedirect.com,10,1131,25,60,18,97,958,76,4,0,aligned,0
session_ee4498bc-5bd6-42f0-b176-12e46b10e622,DS-38229A-444111,2026-07-18T15:06:27.956Z,reading_research,10,scholar.google.com,10,498,18,25,16,22,448,28,3,0,aligned,0
session_e5290fc5-d6c4-407a-bfb6-bd9e36921d3f,DS-38229A-444111,2026-07-18T19:10:15.930Z,reading_research,45,gemini.google.com,10,3098,79,158,68,0,2579,519,19,0,aligned,0
session_8108b410-daa0-431c-9472-2b08f4493b7c,DS-38229A-444111,2026-07-18T22:23:22.035Z,reading_research,15,buet.ac.bd,10,503,13,28,14,39,383,81,3,0,moved_away,1
session_7849c4ac-a695-4631-b7da-3215a4794aa1,DS-38229A-444111,2026-07-19T00:04:10.352Z,communication_coordination,30,10minuteschool.com,10,488,19,0,19,40,359,89,2,0,moved_away,0
session_9d006749-c558-46a7-a03d-e19e3ef1cf6b,DS-38229A-444111,2026-07-19T11:16:01.666Z,reading_research,20,wikipedia.org,10,1372,36,77,23,162,1074,136,9,0,moved_away,1
session_fae1822b-383f-484e-83c2-f528507faef8,DS-38229A-444111,2026-07-20T10:09:05.865Z,reading_research,10,gemini.google.com,10,570,18,34,3,0,481,89,3,0,aligned,0
session_e905b0b8-b6f6-406c-9731-238ba4bd18d0,DS-38229A-444111,2026-07-20T23:15:22.578Z,reading_research,10,scholar.google.com,10,503,5,20,9,38,416,49,3,0,moved_away,1
session_dcf0a7c1-0816-43d2-9640-b866d69c8cc9,DS-38229A-444111,2026-07-21T17:06:57.796Z,reading_research,60,scholar.google.com,10,3026,69,172,69,433,2534,59,9,0,aligned,0
session_4c4778e6-4850-48a8-b81a-d9ac5dd60cb8,DS-38229A-444111,2026-07-22T00:16:19.945Z,reading_research,45,scholar.google.com,10,3120,87,172,46,327,2604,189,18,0,aligned,0
session_bc0a98c5-a2ae-4484-a07a-e655021d0cf0,DS-38229A-444111,2026-07-22T09:20:26.986Z,reading_research,15,wikipedia.org,10,616,16,27,8,16,455,145,4,0,moved_away,1
session_0471fb82-4df4-4841-ab9d-e70e68265e32,DS-38229A-444111,2026-07-22T15:17:47.043Z,reading_research,45,wikipedia.org,10,2016,25,96,35,116,1414,486,8,0,moved_away,1
session_8e3b9e54-9a9b-4e56-9f64-bcddda56e841,DS-38229A-444111,2026-07-22T19:24:37.845Z,reading_research,10,scholar.google.com,10,296,9,15,5,19,246,31,1,0,aligned,0
session_8c7ea631-af07-4f7b-8263-3762ae3084bd,DS-38229A-444111,2026-07-22T20:10:03.538Z,reading_research,45,scholar.google.com,10,2344,65,128,50,159,2065,120,2,0,aligned,0
session_56c8f3ac-d3da-476c-ae33-2b16ede7c995,DS-38229A-444111,2026-07-23T00:23:16.636Z,reading_research,20,wikipedia.org,10,179,0,7,6,26,124,29,1,0,moved_away,1
session_f8f55466-8ec3-454c-9a78-813482135e30,DS-38229A-444111,2026-07-23T16:13:38.899Z,reading_research,10,wikipedia.org,10,437,16,31,11,0,404,33,1,0,aligned,0
session_3b306293-b826-43e5-9624-a6fdc34a2c97,DS-38229A-444111,2026-07-23T19:10:57.606Z,reading_research,10,sciencedirect.com,10,415,3,24,9,18,359,38,2,0,aligned,0
session_567953ce-7364-4fd8-aa64-938d32f7ec17,DS-38229A-444111,2026-07-23T22:12:39.250Z,reading_research,10,wikipedia.org,10,558,11,33,9,50,485,23,3,0,aligned,0
session_731397b0-11fa-4dbd-bade-c860a8a31819,DS-38229A-444111,2026-07-24T19:06:51.298Z,reading_research,45,scholar.google.com,10,3096,83,165,54,219,2749,128,6,0,aligned,0
session_4f7eacc6-5442-4850-88cf-17c15bd22126,DS-38229A-444111,2026-07-25T13:09:28.464Z,writing_creating,45,docs.google.com,10,3647,95,67,337,149,3155,343,12,0,aligned,0
session_1af60ef2-2d72-4cd1-90aa-c5665244a6eb,DS-38229A-444111,2026-07-25T14:17:00.411Z,writing_creating,20,docs.google.com,10,289,8,2,30,26,228,35,2,0,aligned,0
session_e1a8ceb8-0777-4081-ae09-be336fa4fdd5,DS-38229A-444111,2026-07-26T10:12:32.356Z,coding_problem_solving,45,sciencedirect.com,10,5109,102,93,404,837,4272,0,13,0,aligned,0
session_968a7794-0260-4a5c-9158-93ab691812d7,DS-38229A-444111,2026-07-26T18:02:54.289Z,reading_research,60,scholar.google.com,10,4296,145,238,104,396,3540,360,11,0,aligned,0
session_8ce3cf0d-60f2-4137-831a-cf6f704d349f,DS-38229A-444111,2026-07-27T13:09:36.196Z,reading_research,15,sciencedirect.com,10,1205,38,74,21,85,919,201,7,0,moved_away,1
session_0d3e54b8-82fc-4e1c-bfce-fa4386239a33,DS-38229A-444111,2026-07-27T15:17:12.527Z,learning_tutorial,60,shikho.com,10,2733,54,97,35,273,2346,114,11,0,moved_away,1
session_a6640718-476e-4bc4-8ce9-7472b46cf353,DS-38229A-444111,2026-07-27T21:07:25.932Z,learning_tutorial,15,wikipedia.org,10,258,9,1,4,14,214,30,1,128,aligned,0
session_4cc0cdd3-458b-481f-8f27-2cfabbd47bcc,DS-38229A-444111,2026-07-28T01:00:48.192Z,reading_research,30,wikipedia.org,10,1298,25,58,18,159,877,262,8,0,moved_away,1
session_75f2a944-3bdd-4b6f-9049-9ac8a65b95f2,DS-38229A-444111,2026-07-28T11:07:32.671Z,reading_research,15,gemini.google.com,10,664,19,36,7,17,537,110,4,0,moved_away,1
session_b802bb8b-60d2-40d6-ba46-f6ec1ce46756,DS-38229A-444111,2026-07-28T12:23:54.406Z,reading_research,15,wikipedia.org,10,1474,37,76,25,98,1202,174,5,0,moved_away,1
session_8894f08c-f070-4e01-9082-e30edfd9ffd7,DS-38229A-444111,2026-07-28T22:12:34.219Z,writing_creating,15,youtube.com,10,777,17,19,69,42,580,155,5,313,moved_away,1
session_acf5012a-ebd8-455c-a559-a17fee26cc69,DS-38229A-444111,2026-07-29T08:14:23.061Z,writing_creating,20,docs.google.com,10,1047,31,20,102,163,825,59,5,0,aligned,0
session_5ed19561-fe6c-4814-8729-dd6c4d865b4a,DS-38229A-444111,2026-07-29T13:23:26.496Z,communication_coordination,30,teams.microsoft.com,10,2377,96,69,144,390,1987,0,10,0,aligned,0
session_9cc8d656-b980-45c4-80e4-4851b56ea469,DS-38229A-444111,2026-07-29T22:09:35.060Z,reading_research,20,wikipedia.org,10,494,17,16,10,32,365,97,3,0,moved_away,1
session_995b2035-3100-4e6c-8fde-aedfa8c4687d,DS-4DCFC1-6A61E9,2026-07-20T09:14:40.671Z,reading_research,45,sciencedirect.com,13,3871,94,183,70,422,2999,450,16,0,moved_away,1
session_77ee0994-6da9-4c69-bd31-67a9a965366f,DS-4DCFC1-6A61E9,2026-07-20T10:24:12.499Z,reading_research,60,wikipedia.org,13,2062,58,109,29,73,1808,181,5,0,aligned,0
session_d0787329-fbd0-432f-8773-01f758df0873,DS-4DCFC1-6A61E9,2026-07-20T11:03:34.688Z,reading_research,45,bdjobs.com,13,2113,52,117,27,85,1763,265,11,0,moved_away,1
session_41a6d8de-492a-47f1-af0a-d5310f02e6b7,DS-4DCFC1-6A61E9,2026-07-20T12:10:40.375Z,learning_tutorial,30,docs.google.com,13,2377,44,69,32,395,1816,166,10,0,moved_away,0
session_11946710-02c0-40b3-8225-3f15b625388f,DS-4DCFC1-6A61E9,2026-07-20T13:23:27.468Z,communication_coordination,45,bdjobs.com,13,1933,99,53,103,258,1603,72,7,0,moved_away,1
session_dfb9fce1-e8f1-4dcd-8940-6c410a082c55,DS-4DCFC1-6A61E9,2026-07-21T09:22:50.671Z,writing_creating,90,canva.com,13,2014,48,27,178,123,1631,260,11,0,aligned,0
session_2ffbc5eb-9495-4ed6-9f32-de031ab97a71,DS-4DCFC1-6A61E9,2026-07-21T10:01:25.604Z,reading_research,10,ostad.com,13,872,21,43,12,64,704,104,6,0,moved_away,1
session_8b310be6-ef7f-460b-a840-c6bc9b0b39f8,DS-4DCFC1-6A61E9,2026-07-21T19:06:33.635Z,writing_creating,30,office.com,13,1826,41,29,142,74,1535,217,8,0,aligned,0
session_4d9ea7c2-a350-4c30-abf8-1fc537aab4af,DS-4DCFC1-6A61E9,2026-07-22T01:06:28.403Z,reading_research,20,ostad.com,13,902,20,70,12,7,800,95,5,0,aligned,0
session_0e3e49e6-bdc3-4705-9bc8-a03486fed862,DS-4DCFC1-6A61E9,2026-07-22T15:06:23.576Z,writing_creating,45,canva.com,13,2220,56,37,206,166,1863,191,9,0,aligned,0
session_f7439980-aac0-4b43-adb1-a04a67c4df25,DS-4DCFC1-6A61E9,2026-07-22T18:20:49.654Z,writing_creating,20,docs.google.com,13,1243,30,24,94,141,976,126,7,0,aligned,0
session_33c62d3b-9fe5-4201-8896-b922ada5f0c1,DS-4DCFC1-6A61E9,2026-07-22T19:14:47.423Z,coding_problem_solving,60,freecodecamp.org,13,4155,94,68,294,0,3256,899,27,0,moved_away,1
session_7ada8909-7d74-4e84-9bbd-620c21f2bdab,DS-4DCFC1-6A61E9,2026-07-22T22:03:01.494Z,reading_research,10,ostad.com,13,801,22,33,13,90,604,107,5,0,moved_away,1
session_9d3c2db0-8d7b-4503-a8c4-13f5d546bff1,DS-4DCFC1-6A61E9,2026-07-22T23:19:41.739Z,reading_research,60,scholar.google.com,13,154,2,5,0,23,125,6,0,0,aligned,0
session_988ae60a-7776-49f5-9f97-70df7a796a2a,DS-4DCFC1-6A61E9,2026-07-23T11:20:37.241Z,writing_creating,60,scholar.google.com,13,2889,56,52,209,77,2409,403,10,0,aligned,0
session_c5a8be35-6e7e-41d1-88fb-51a46d1df801,DS-4DCFC1-6A61E9,2026-07-23T12:13:46.728Z,writing_creating,60,docs.google.com,13,1495,43,29,138,108,1229,158,8,0,aligned,0
session_55a6d635-436a-4f41-8b98-c613fa36fc78,DS-4DCFC1-6A61E9,2026-07-23T20:21:16.115Z,writing_creating,90,grammarly.com,13,175,6,0,15,9,154,12,0,0,aligned,0
session_f1833a6f-6671-4cef-8417-7f3634e73be2,DS-4DCFC1-6A61E9,2026-07-24T19:13:03.455Z,reading_research,10,gemini.google.com,13,353,8,14,3,33,226,94,2,0,moved_away,1
session_d3fd74b4-34e7-4248-9044-62dec20dbb06,DS-4DCFC1-6A61E9,2026-07-24T22:02:27.336Z,writing_creating,90,docs.google.com,13,5728,130,95,477,579,4681,468,22,0,aligned,0
session_9a34cf45-d06c-49ef-9cce-adb2efc6c9df,DS-4DCFC1-6A61E9,2026-07-25T09:18:07.280Z,writing_creating,15,grammarly.com,13,1535,28,33,121,145,1235,155,7,0,aligned,0
session_f701dd11-2155-4649-8750-a833556ce8f0,DS-4DCFC1-6A61E9,2026-07-25T13:19:56.794Z,reading_research,30,bdjobs.com,13,1795,40,87,37,69,1376,350,12,0,moved_away,1
session_00816d89-ba4d-4f9a-8cfa-733fcfaf8376,DS-4DCFC1-6A61E9,2026-07-25T18:11:10.503Z,reading_research,20,sciencedirect.com,13,593,21,27,12,29,528,36,3,0,aligned,0
session_bc0c1db1-ac8e-4bcf-ae5d-69d3df87b6fd,DS-4DCFC1-6A61E9,2026-07-25T20:03:56.424Z,reading_research,15,wikipedia.org,13,1407,27,65,29,41,1131,235,7,0,moved_away,1
session_811ce53c-4058-4b1c-b345-f0847673281b,DS-4DCFC1-6A61E9,2026-07-26T10:21:53.357Z,writing_creating,20,canva.com,13,1941,48,38,175,31,1784,126,8,0,aligned,0
session_4b5d771d-837b-430e-821f-bc75571d60ae,DS-4DCFC1-6A61E9,2026-07-26T13:05:35.689Z,writing_creating,30,docs.google.com,13,1380,37,20,102,225,1084,71,5,0,aligned,0
session_db7dc413-bf76-44a0-b48a-3f1390315de2,DS-4DCFC1-6A61E9,2026-07-26T14:03:06.328Z,communication_coordination,30,mail.google.com,13,996,26,22,52,63,581,352,9,0,moved_away,1
session_9d66246c-7215-4dfd-b2a2-6f25e26626d1,DS-4DCFC1-6A61E9,2026-07-26T18:08:00.646Z,writing_creating,60,docs.google.com,13,2621,72,41,206,247,2117,257,11,0,aligned,0
session_dce01bfa-1e73-4c14-9201-55c07a8fa41d,DS-4DCFC1-6A61E9,2026-07-26T19:15:20.108Z,writing_creating,15,canva.com,13,987,20,22,66,33,917,37,5,0,aligned,0
session_29f60d5a-04e0-446b-838c-96b5469317c7,DS-4DCFC1-6A61E9,2026-07-26T22:06:22.405Z,reading_research,10,google.com,13,723,19,49,11,86,637,0,2,0,aligned,1
session_3def7023-489c-43be-8ded-6efb33940ab8,DS-4DCFC1-6A61E9,2026-07-27T14:22:58.483Z,reading_research,30,wikipedia.org,13,1876,53,105,39,101,1642,133,8,0,aligned,0
session_8cd6e9ae-03f5-466d-a6c3-4f939e984070,DS-4DCFC1-6A61E9,2026-07-27T16:02:58.118Z,reading_research,30,ostad.com,13,2130,49,133,39,25,1980,125,7,0,aligned,0
session_b2a9c4c8-6e50-40ba-8226-31feb13b09a4,DS-4DCFC1-6A61E9,2026-07-27T17:14:15.108Z,writing_creating,90,office.com,13,7151,183,134,623,613,6168,370,21,0,aligned,0
